ID,DemAffl,DemAge,DemGender,PromClass,PromSpend,PromTime,TargetBuy
197440,8,49,F,Gold,7600.0,4,0
202878,6,57,M,Silver,2000.0,8,0
203289,7,52,U,Platinum,23053.35,6,0
206032,6,75,M,Gold,10000.0,17,0
209732,15,55,,Gold,10000.0,6,0
213241,5,57,F,Gold,12000.0,1,0
215554,8,52,F,Silver,2500.0,6,1
217158,12,74,F,Gold,6000.0,5,0
223182,9,79,F,Silver,5000.0,5,0
234540,6,48,,Silver,420.0,4,0
239844,11,60,,Tin,0.01,8,0
243051,3,38,F,Silver,50.0,9,1
248258,9,58,F,Silver,5000.0,5,0
249335,4,52,M,Silver,1800.0,4,0
252646,3,45,F,Silver,100.01,9,0
253839,9,42,F,Silver,2000.0,4,0
256366,10,40,U,Silver,50.0,10,0
259802,5,55,,Gold,10100.0,8,0
262684,8,77,,Gold,6000.0,3,0
263419,11,27,F,Tin,0.01,7,1
267236,4,60,F,Tin,0.01,8,0
270962,7,58,U,Silver,2500.0,5,0
271101,7,54,,Tin,0.01,,0
274623,7,42,M,Tin,0.01,4,0
275700,10,36,F,Silver,1000.0,9,1
276871,6,,F,Gold,5500.0,1,1
277010,4,57,F,Tin,0.01,5,0
278661,10,72,F,Gold,11105.32,8,0
280895,10,,F,Tin,0.01,6,1
282057,7,37,F,Tin,0.01,5,0
285846,9,76,F,Silver,2000.0,8,1
287628,6,45,F,Tin,0.01,5,0
288748,14,,F,Gold,10000.0,8,0
290890,,51,M,Silver,0.02,9,0
293083,15,61,,Silver,500.0,2,0
293555,12,61,F,Silver,4000.0,1,0
295620,9,47,M,Tin,0.01,5,0
297194,8,52,U,Tin,0.01,8,0
300845,8,40,U,Silver,1000.0,1,0
301175,5,56,F,Tin,0.01,9,0
301981,8,51,F,Gold,9000.01,8,0
310786,9,50,F,Gold,12000.0,2,0
312169,4,46,,Tin,0.01,5,0
312762,8,41,F,Silver,1675.0,7,1
315559,8,60,M,Silver,100.01,8,0
315788,10,70,F,Silver,2250.0,8,0
316350,9,50,F,Tin,0.01,9,1
317640,15,37,F,Tin,0.01,8,1
317950,9,74,F,Silver,3000.0,5,0
318922,8,61,,Silver,1200.0,6,1
323039,8,49,,Silver,4000.0,3,0
324469,7,,F,Tin,0.01,8,0
331341,9,53,M,Gold,6000.0,4,0
332658,4,,F,Tin,0.01,5,0
335606,,59,U,Silver,2500.0,7,0
340146,7,63,,Tin,0.01,5,0
342033,7,51,F,Silver,3026.67,10,0
343102,5,62,F,Platinum,56053.35,7,0
345474,3,46,F,Silver,0.1,10,0
345865,10,39,M,Gold,7500.0,2,1
346225,6,53,M,Silver,3000.0,6,1
346403,10,,,Tin,0.01,5,0
347086,7,48,F,Silver,5000.0,4,0
347531,7,62,F,Gold,12808.95,11,0
349291,9,26,M,Silver,4000.0,1,0
349739,7,,F,Silver,2500.0,5,0
351482,6,43,F,Gold,6000.0,2,0
356425,7,78,F,Gold,6000.0,5,0
356719,3,67,F,Gold,12049.25,3,0
357898,2,45,F,Tin,0.01,5,0
358649,10,60,,Tin,0.01,5,0
359955,13,68,F,Gold,7500.0,6,0
361283,14,74,U,Platinum,20245.89,3,0
362468,5,53,M,Tin,0.01,8,0
369225,5,51,M,Silver,420.0,8,0
369780,9,,F,Platinum,25000.0,1,0
370398,6,51,F,Silver,200.0,1,0
370622,5,51,U,Silver,200.0,2,0
371475,11,36,M,Tin,0.01,4,0
374644,8,63,F,Gold,6000.0,2,0
375330,8,69,F,Silver,500.0,9,0
376078,11,40,F,Tin,0.01,5,1
380113,4,46,F,Silver,2165.75,11,0
393347,,46,M,Tin,0.01,8,0
396192,8,46,F,Silver,2245.0,11,1
397407,9,38,F,Tin,0.01,5,1
397660,4,67,M,Gold,11000.0,5,0
400297,11,73,U,Platinum,26000.0,4,0
403768,5,53,F,Gold,9000.0,8,0
407364,6,55,F,Silver,5000.0,4,1
408964,9,54,F,Silver,3000.0,8,0
414832,6,45,M,Tin,0.01,5,0
418943,10,39,M,Tin,0.01,4,1
421979,5,58,F,Silver,420.0,4,0
423211,8,33,F,Tin,0.01,5,1
434671,11,35,M,Tin,0.01,8,1
435961,4,71,M,Gold,6000.0,12,0
439088,10,55,M,Tin,0.01,4,0
442542,,57,M,Silver,480.0,11,0
454702,13,53,M,Gold,6871.12,5,0
462705,9,58,F,Silver,1500.0,19,0
467812,13,43,M,Tin,0.01,5,0
473596,8,47,F,Tin,0.01,5,0
479403,4,74,M,Gold,6000.0,2,0
481572,10,49,M,Silver,5000.0,1,0
486701,9,58,F,Silver,3000.0,9,0
492566,8,56,F,Tin,0.01,8,0
498300,5,47,F,Gold,6000.0,1,0
500100,14,30,F,Silver,100.0,1,1
502316,3,68,F,Platinum,50000.0,4,1
503053,8,45,F,Silver,1000.0,4,0
518069,7,71,F,Gold,12000.0,6,0
523259,10,65,F,Gold,9053.35,8,0
528102,10,74,F,Gold,19000.0,5,0
530042,10,43,F,Tin,0.01,5,1
532479,11,44,F,Silver,500.0,9,0
543004,9,65,U,Silver,3000.0,5,0
543683,7,46,M,Gold,17409.76,12,0
553115,8,29,F,Silver,2000.0,12,0
580287,7,53,F,Tin,0.01,5,1
588784,9,64,M,Silver,1000.0,12,0
595233,10,49,M,Silver,3000.0,5,1
598453,17,59,F,Gold,12000.0,8,1
600504,8,37,F,Tin,0.01,5,0
601969,5,60,,Gold,10000.0,2,0
602906,10,64,,Tin,0.01,4,0
604011,3,,F,Silver,5000.0,4,0
606316,15,51,F,Silver,3000.0,8,1
607118,8,47,F,Tin,0.01,5,0
607444,18,51,F,Silver,3000.0,3,0
608378,5,58,F,Silver,3050.0,11,0
610283,9,46,M,Tin,0.01,9,0
611662,5,48,U,Tin,0.01,5,0
618284,15,,F,Silver,0.02,,1
621358,4,61,F,Gold,6000.0,1,0
630888,9,38,F,Tin,0.01,5,1
633380,7,68,M,Gold,15000.01,6,0
633542,12,76,F,Gold,6000.0,2,0
641022,4,56,F,Tin,0.01,8,0
642568,8,73,M,Silver,360.0,1,1
649007,8,37,F,Tin,0.01,9,1
653500,,32,F,Silver,2500.0,1,1
663603,11,74,F,Silver,3350.0,4,0
666238,9,65,M,Gold,6107.64,,0
667692,5,60,F,Silver,5000.0,2,0
669067,10,35,F,Silver,1500.0,4,0
672785,6,46,F,Gold,6544.99,1,0
674885,3,46,F,Gold,6000.0,5,0
682144,5,70,F,Platinum,21684.94,0,0
691178,9,37,M,Gold,10000.0,11,1
693847,4,46,U,Gold,6000.0,3,0
708569,3,68,U,Silver,4000.0,18,0
711616,10,,U,Platinum,50000.0,4,0
714054,11,,U,Silver,5000.0,5,0
723185,12,49,F,Silver,3000.0,3,0
734446,4,63,F,Silver,3026.67,7,0
741779,4,62,U,Silver,5000.0,5,0
742880,5,,F,Gold,10000.0,7,1
745421,5,62,,Silver,0.02,8,0
749044,5,74,U,Gold,6000.0,1,0
750840,5,52,F,Tin,0.01,5,0
755931,,42,F,Tin,0.01,4,0
760641,8,74,,Gold,6000.0,17,1
764876,7,43,F,Tin,0.01,5,0
770264,8,64,F,Gold,12000.0,2,0
775258,12,31,F,Silver,1100.0,9,0
778176,11,41,F,Silver,1000.0,5,0
779199,9,45,F,Tin,0.01,8,0
794872,8,67,,Gold,10000.01,2,0
795267,17,,F,Silver,1000.0,13,1
796026,9,40,F,Tin,0.01,5,0
802069,7,70,F,Gold,12000.0,2,0
804061,20,,F,Silver,480.0,1,1
806994,6,56,,Tin,0.01,5,0
807877,,,F,Gold,8053.35,1,0
811831,15,32,,Tin,0.01,5,1
819301,10,51,M,Silver,1000.0,6,0
823066,8,65,,Silver,50.0,7,0
823961,8,52,F,Gold,6000.0,2,0
826758,8,,F,Gold,6000.0,2,1
827614,6,38,F,Tin,0.01,9,1
830380,8,43,F,Silver,50.0,10,0
835404,7,37,M,Tin,0.01,5,0
836222,7,42,M,Tin,0.01,5,0
841013,4,22,U,Gold,6000.0,3,0
842486,8,31,U,Tin,0.01,8,0
848085,15,33,F,Silver,0.02,7,1
851396,9,,M,Silver,600.0,7,0
853291,8,31,,Silver,5000.0,1,0
856916,8,54,M,Gold,12000.0,8,0
861820,5,54,F,Silver,1000.0,2,0
870307,9,53,M,Gold,6000.0,3,0
871095,16,37,F,Tin,0.01,5,1
875694,8,63,,Gold,6000.0,2,0
876623,3,33,M,Tin,0.01,5,0
878812,7,65,F,Tin,0.01,8,0
889199,14,39,F,Silver,50.0,10,1
897485,9,42,F,Gold,6000.0,2,1
899186,6,67,M,Silver,3000.0,8,0
903191,11,43,F,Tin,0.01,5,1
908584,9,,M,Gold,6000.0,6,0
909459,8,50,F,Silver,0.02,9,0
910007,5,70,,Gold,12000.0,5,0
918237,13,58,F,Tin,0.01,8,0
919551,13,50,F,Tin,0.01,5,1
922366,7,78,F,Silver,1250.0,5,0
929506,5,79,M,Gold,6000.0,8,0
935530,8,68,F,Silver,800.0,8,1
943517,9,48,F,Silver,600.0,8,0
946311,9,,M,Silver,3000.0,3,0
950033,12,35,M,Silver,1500.0,5,0
951897,9,38,F,Tin,0.01,4,1
952729,11,42,M,Gold,6041.13,5,0
956155,14,50,M,Silver,420.01,4,0
956635,4,63,M,Tin,0.01,5,1
963194,9,75,F,Gold,6000.0,1,0
966932,8,50,F,Silver,50.0,8,0
985295,2,58,F,Tin,0.01,8,0
994332,8,66,F,Silver,500.0,8,0
997684,6,54,F,Silver,50.0,11,0
1002422,7,54,F,Tin,0.01,5,0
1003402,18,38,F,Tin,0.01,6,1
1004301,6,,M,Gold,6000.0,2,0
1008129,8,55,M,Silver,1000.0,5,0
1009060,8,52,M,Tin,0.01,4,0
1009931,11,59,F,Silver,1500.0,2,0
1011243,6,63,M,Silver,1000.0,2,1
1011669,15,47,M,Tin,0.01,6,0
1012509,6,44,F,Tin,0.01,8,0
1013394,7,39,F,Tin,0.01,7,0
1018361,5,72,U,Gold,6000.0,2,0
1022334,8,38,M,Tin,0.01,5,0
1024248,13,72,F,Tin,0.01,8,0
1029592,11,,M,Tin,0.01,4,1
1030302,6,76,,Silver,3000.0,8,0
1036084,11,50,,Silver,3000.0,8,0
1040227,7,66,F,Gold,9000.0,8,0
1040944,6,51,,Tin,0.01,5,0
1041231,7,61,,Gold,6107.64,,0
1043773,3,63,,Tin,0.01,8,0
1054015,6,78,F,Gold,7500.0,5,0
1055682,9,55,M,Gold,5672.31,2,0
1060228,7,49,M,Gold,10000.0,3,0
1061348,13,70,,Silver,2884.96,8,0
1068601,6,45,F,Tin,0.01,4,0
1070037,5,73,F,Silver,600.0,32,0
1070460,8,71,F,Platinum,23425.0,4,1
1072773,14,52,F,Gold,7017.55,5,0
1080016,11,52,F,Tin,0.01,,0
1083767,9,64,F,Silver,3000.0,1,0
1084607,9,57,F,Gold,9052.66,7,0
1087452,6,,F,Silver,2000.0,27,0
1091085,10,63,M,Gold,6053.34,4,0
1094955,,32,F,Tin,0.01,4,1
1097474,20,39,M,Tin,0.01,8,1
1098918,7,35,F,Tin,0.01,4,1
1101579,8,58,F,Silver,1930.0,9,0
1103288,10,40,F,Tin,0.01,4,1
1104136,13,,M,Silver,980.0,5,1
1108646,9,61,F,Gold,12150.0,11,0
1111434,13,70,F,Silver,500.0,11,0
1115014,12,,F,Gold,9000.0,11,0
1117629,7,,F,Tin,0.01,8,0
1128353,5,70,F,Silver,3500.0,5,0
1131451,6,60,F,Gold,10000.0,4,0
1134051,14,77,F,Silver,4884.25,11,0
1135724,10,74,F,Silver,4500.0,12,0
1136585,7,67,F,Silver,3000.0,5,0
1137492,7,51,M,Gold,17000.0,11,1
1138235,18,37,F,Silver,50.01,8,1
1143662,8,35,,Gold,5044.46,5,0
1150820,5,58,F,Gold,6000.0,22,0
1151037,6,27,F,Silver,5.0,7,0
1154958,5,72,U,Platinum,32050.0,12,0
1156179,9,70,F,Gold,6000.0,8,0
1162020,7,,F,Tin,0.01,2,0
1164910,7,51,M,Tin,0.01,10,0
1176846,9,31,F,Silver,1064.45,1,1
1178520,10,58,F,Silver,3000.01,8,0
1179462,10,73,F,Tin,0.01,6,0
1184199,7,38,F,Silver,4500.0,4,0
1186671,7,71,F,Silver,2000.0,3,1
1190369,22,50,M,Silver,3000.0,6,1
1191357,9,,U,Silver,2000.0,4,0
1192051,6,51,F,Silver,3500.0,27,0
1195654,10,33,F,Tin,0.01,8,0
1196413,6,67,U,Silver,5000.0,4,0
1201212,,78,M,Silver,3000.0,8,0
1214039,8,64,F,Gold,20000.0,4,1
1214934,9,50,F,Silver,5000.0,4,0
1219553,8,76,U,Gold,6000.0,15,0
1220462,5,41,F,Gold,6000.0,3,0
1225006,12,50,M,Tin,0.01,7,1
1227807,13,54,F,Gold,12078.35,30,0
1237713,13,45,F,Silver,3000.0,8,0
1238604,,72,F,Silver,50.01,13,0
1245880,7,41,,Tin,0.01,9,0
1246933,10,59,M,Silver,780.0,2,0
1250647,9,68,,Silver,4000.0,5,1
1260758,9,66,M,Silver,2000.0,9,0
1263749,5,52,M,Tin,0.01,11,0
1265857,8,73,M,Gold,6000.0,6,0
1275305,6,45,U,Silver,300.0,9,0
1276417,9,48,F,Tin,0.01,5,1
1277200,6,60,F,Tin,0.01,5,0
1285750,,57,F,Tin,0.01,8,0
1287850,11,56,F,Gold,6105.32,7,0
1288741,26,31,F,Tin,0.01,4,1
1289772,,,F,Tin,0.01,4,1
1303252,9,55,M,Tin,0.01,11,0
1311360,8,61,M,Silver,3250.0,6,0
1312375,,41,F,Gold,10000.0,5,0
1314483,9,68,M,Silver,4250.0,4,0
1317113,14,47,F,Tin,0.01,8,0
1318845,3,70,F,Silver,3000.0,11,0
1322516,10,40,M,Silver,1000.0,13,0
1329022,10,57,M,Tin,0.01,4,0
1330489,11,54,F,Silver,360.0,9,0
1334131,2,,F,Silver,3178.9,5,0
1338498,9,44,F,Gold,6053.35,5,0
1339389,6,57,M,Silver,0.02,8,0
1343181,5,,,Silver,50.02,8,0
1347810,9,60,,Gold,8000.0,14,0
1348957,13,45,F,Tin,0.01,4,1
1349643,9,40,F,Tin,0.01,6,1
1352482,9,22,F,Silver,1000.0,3,1
1353292,10,73,M,Silver,5000.0,27,0
1364707,10,44,U,Tin,0.01,5,0
1366874,,65,M,Silver,1526.91,5,0
1372475,5,50,M,Tin,0.01,4,0
1379240,8,76,F,Silver,1000.0,3,1
1390333,,61,M,Tin,0.01,5,0
1402684,7,52,F,Tin,0.01,9,0
1403478,9,48,F,Gold,6000.0,2,0
1404458,9,47,M,Tin,0.01,4,0
1407228,7,57,F,Silver,2000.0,1,0
1408038,10,61,F,Silver,3000.0,3,1
1421123,8,55,M,Silver,4000.0,8,0
1422944,10,52,U,Tin,0.01,5,0
1425951,,68,F,Tin,0.01,9,0
1438069,5,76,F,Gold,6000.0,3,1
1439030,11,47,M,Silver,1200.0,11,0
1455486,9,66,,Gold,6000.0,2,0
1467158,12,60,F,Gold,9604.34,4,0
1468979,8,49,M,Tin,0.01,20,0
1469819,9,67,F,Gold,10000.0,5,1
1470698,4,53,M,Silver,1070.0,9,0
1472623,3,59,F,Gold,12000.0,4,0
1487604,8,69,M,Gold,14400.0,8,0
1488600,7,27,F,Tin,0.01,4,1
1492209,10,63,M,Silver,3000.0,7,0
1496115,18,41,F,Tin,0.01,5,1
1504347,,36,U,Silver,4035.57,7,1
1509918,4,64,F,Silver,420.0,9,0
1514946,8,45,M,Gold,6000.0,2,0
1515527,10,46,F,Tin,0.01,4,0
1521950,2,50,,Tin,0.01,5,0
1522744,6,75,F,Tin,0.01,9,0
1523775,11,62,M,Gold,6000.0,10,0
1524712,13,64,M,Gold,12000.0,8,0
1529536,,39,,Silver,3850.36,8,1
1533258,11,25,F,Silver,3000.0,3,1
1535226,5,46,F,Platinum,24878.35,9,0
1539132,10,39,U,Tin,0.01,5,1
1540068,6,56,F,Gold,6000.0,1,0
1543954,6,56,U,Gold,6000.0,2,0
1544969,6,62,M,Gold,18800.0,4,0
1550918,5,77,M,Gold,9600.0,16,0
1562843,6,48,F,Tin,0.01,5,0
1587250,4,29,F,Silver,100.0,7,1
1589334,9,63,M,Tin,0.01,5,0
1593706,5,46,,Silver,480.0,5,0
1598333,9,58,U,Tin,0.01,5,1
1611844,12,68,F,Silver,2000.0,31,0
1613685,10,,F,Gold,6053.35,6,1
1617974,7,36,F,Silver,3000.01,8,1
1620797,17,43,F,Silver,3026.67,6,1
1622692,6,57,M,Tin,0.01,4,0
1623494,8,47,,Tin,0.01,8,0
1625675,6,45,F,Tin,0.01,10,0
1642332,10,64,,Silver,5000.0,8,0
1645110,12,37,F,Tin,0.01,5,1
1652990,5,57,,Silver,4884.25,11,0
1657844,6,41,,Tin,0.01,5,0
1665502,10,44,M,Silver,500.0,9,0
1670514,9,51,F,Gold,7053.34,10,0
1673556,7,62,F,Gold,6000.0,2,0
1681265,18,54,F,Silver,970.92,9,1
1691082,7,57,M,Silver,1500.0,5,0
1692658,7,63,M,Gold,7500.0,5,0
1700464,8,,M,Silver,600.0,8,0
1711644,3,51,M,Tin,0.01,5,0
1719211,,44,F,Silver,500.0,10,1
1731165,11,74,M,Gold,10000.01,8,0
1739360,8,56,M,Silver,4000.0,5,1
1741195,4,33,F,Tin,0.01,6,0
1742434,8,50,F,Silver,4800.0,5,0
1745654,,59,F,Tin,0.01,5,1
1750860,11,67,,Silver,2400.0,9,0
1762605,7,72,M,Gold,6000.0,5,0
1763474,5,67,,Gold,6000.0,2,0
1764616,8,28,M,Silver,68.22,2,0
1765760,9,65,F,Gold,6053.35,6,0
1771388,10,39,F,Silver,600.0,1,1
1772406,11,59,F,Gold,10213.66,5,0
1773372,13,61,,Silver,3000.0,8,0
1779664,11,43,F,Tin,0.01,9,1
1780778,10,50,M,Tin,0.01,5,0
1781979,8,67,U,Gold,5027.0,6,0
1786164,9,55,M,Tin,0.01,4,0
1794663,12,48,F,Gold,6053.35,13,1
1795708,8,32,M,Tin,0.01,7,1
1798863,13,38,F,Tin,0.01,8,1
1799983,9,39,F,Silver,2700.0,4,1
1802194,11,44,M,Gold,6000.0,3,1
1803158,5,71,,Silver,2000.0,9,0
1804170,11,57,F,Gold,9000.0,6,1
1805371,5,34,F,Gold,6000.0,5,0
1815989,11,56,F,Tin,0.01,6,1
1820036,6,69,M,Gold,12105.32,12,0
1820974,11,53,M,Silver,600.0,7,0
1823981,10,33,F,Tin,0.01,9,1
1824880,6,67,M,Silver,1200.0,4,0
1833588,8,74,F,Silver,2000.0,5,0
1856197,4,73,F,Gold,6500.0,20,0
1857045,16,37,F,Tin,0.01,8,1
1860585,7,60,F,Silver,1324.2,10,1
1861670,,61,F,Gold,6000.0,2,1
1868780,9,74,F,Gold,11605.32,12,0
1872664,4,49,F,Tin,0.01,,0
1873539,8,49,F,Tin,0.01,8,0
1878794,5,58,F,Platinum,21000.0,9,0
1882015,,36,M,Silver,4300.0,1,0
1891499,8,43,F,Silver,1200.0,4,0
1893505,5,76,U,Gold,6053.35,7,0
1895451,8,78,F,Silver,3000.0,2,1
1896628,4,76,F,Gold,6000.0,6,0
1897829,15,48,F,Silver,500.0,9,1
1898779,7,68,M,Tin,0.01,12,0
1901788,7,61,M,Platinum,28780.41,0,0
1902814,10,64,M,Gold,5100.0,11,0
1907808,7,56,,Silver,3000.0,11,0
1916432,8,39,,Silver,5000.0,1,0
1917439,10,62,F,Gold,6053.35,5,0
1919512,11,35,F,Silver,600.0,8,1
1936239,8,35,F,Silver,1000.0,6,1
1938339,8,55,M,Tin,0.01,8,0
1939297,7,47,,Silver,1200.0,9,0
1941658,6,63,M,Platinum,30131.68,6,0
1943634,7,33,F,Tin,0.01,9,0
1946366,7,50,M,Silver,4198.0,1,0
1952552,12,57,M,Silver,1000.0,4,0
1953516,8,42,U,Tin,0.01,5,0
1954504,11,45,F,Silver,720.0,4,0
1976389,6,49,F,Silver,920.0,4,1
1978349,9,70,M,Silver,3000.0,8,0
1979671,6,39,F,Tin,0.01,7,1
1983636,9,37,F,Silver,420.0,1,1
1986597,8,62,F,Silver,3750.0,2,0
1988824,9,67,M,Gold,6000.0,1,0
1991744,9,59,F,Gold,7400.0,28,0
1996495,15,52,M,Silver,3000.0,5,1
2009935,9,50,M,Silver,1200.0,9,0
2015668,7,35,F,Silver,500.0,1,1
2022370,12,39,F,Tin,0.01,5,1
2024128,12,68,F,Gold,18678.76,3,1
2034743,19,38,F,Tin,0.01,9,1
2035618,11,32,F,Tin,0.01,5,0
2038765,7,30,F,Tin,0.01,4,1
2044978,10,59,F,Tin,0.01,10,1
2046008,8,53,U,Gold,6000.0,1,0
2053047,14,53,M,Silver,480.0,5,1
2056623,12,53,F,Tin,0.01,5,0
2063115,13,53,F,Tin,0.01,8,1
2069148,7,48,M,Tin,0.01,7,0
2080303,11,61,F,Tin,0.01,5,1
2088991,,73,F,Silver,2500.0,9,1
2094428,14,76,F,Silver,500.0,9,1
2095491,11,44,F,Tin,0.01,5,1
2107996,9,39,F,Platinum,30649.41,1,1
2109565,6,35,F,Tin,0.01,5,0
2115328,11,63,F,Gold,19000.0,12,0
2124033,11,62,F,Gold,12000.0,2,0
2125013,9,50,F,Tin,0.01,8,0
2138107,12,34,F,Tin,0.01,4,1
2139995,8,69,,Tin,0.01,7,0
2161567,9,,F,Tin,0.01,7,1
2176327,22,30,F,Silver,1750.0,4,1
2180774,10,44,F,Tin,0.01,8,0
2196948,9,79,,Silver,4000.0,2,0
2200279,7,40,M,Tin,0.01,4,0
2201399,7,43,,Tin,0.01,,1
2206358,11,25,F,Silver,2400.0,1,1
2219816,5,57,M,Silver,3000.0,4,0
2222930,7,23,F,Silver,1000.0,5,1
2227312,5,58,,Tin,0.01,,0
2229757,12,,F,Tin,0.01,5,1
2233118,8,57,,Platinum,25000.0,1,0
2235056,10,35,M,Tin,0.01,8,1
2238446,8,42,F,Tin,0.01,5,0
2242419,12,33,F,Tin,0.01,8,1
2245329,9,46,F,Silver,5000.0,2,0
2250233,12,,F,Tin,0.01,4,0
2252104,12,43,F,Tin,0.01,9,1
2262231,17,33,U,Silver,5000.0,1,0
2263890,6,71,,Gold,12000.0,2,0
2272474,14,35,F,Tin,0.01,4,1
2275317,7,54,M,Silver,4500.0,11,0
2281147,13,66,F,Silver,2000.0,5,1
2284065,16,37,F,Tin,0.01,8,1
2303191,3,58,M,Silver,3000.0,2,0
2303523,10,49,M,Tin,0.01,8,0
2327007,8,45,,Tin,0.01,10,0
2330202,8,36,F,Tin,0.01,8,1
2331160,,37,F,Tin,0.01,5,0
2332280,4,71,,Gold,10500.0,15,0
2334992,10,54,F,Silver,2000.0,5,1
2335131,8,55,M,Tin,0.01,9,0
2337916,7,72,F,Platinum,26053.35,8,0
2344521,7,40,M,Tin,0.01,4,0
2345242,3,55,F,Tin,0.01,5,0
2350696,5,57,U,Silver,5000.0,4,0
2353571,10,63,F,Tin,0.01,8,0
2357844,10,53,,Silver,1500.0,5,0
2360020,14,70,M,Platinum,20294.5,3,0
2365723,14,56,U,Gold,6000.0,2,0
2372991,12,49,F,Gold,14000.0,3,0
2373998,12,70,M,Platinum,29374.72,24,1
2384248,3,77,F,Gold,15053.82,4,0
2387123,6,63,M,Gold,18000.0,13,0
2388995,,54,F,Silver,4884.25,8,0
2390949,6,68,F,Gold,19411.22,5,0
2393670,6,,F,Silver,1000.0,3,0
2395363,5,48,,Tin,0.01,5,0
2397285,5,68,F,Silver,1500.0,9,0
2400227,7,49,M,Tin,0.01,5,0
